Metro Area Name,Year,Total Senior Population (CPS),Senior Food Insecurity Rate,# of Food Insecure Seniors,Total Older Adults Population (CPS),Older Adult Food Insecurity Rate,# of Food Insecure Older Adults
"Tulsa, OK",2022,"189,382",11.5%,"21,845","121,620",12.5%,"15,249"
"Tulsa, OK",2023,"192,086",9.6%,"18,477","114,896",14.0%,"16,104"
"Urban Honolulu, HI",2022,"272,891",3.4%,"9,290","124,528",7.0%,"8,737"
"Urban Honolulu, HI",2023,"287,867",4.1%,"11,909","120,673",7.3%,"8,844"
"Virginia Beach-Norfolk-Newport News, VA",2019,"388,832",4.8%,"18,780","220,183",15.2%,"33,460"
"Virginia Beach-Norfolk-Newport News, VA-NC",2020,"417,153",4.3%,"17,747","230,116",13.9%,"31,925"
"Virginia Beach-Norfolk-Newport News, VA-NC",2021,"437,624",3.4%,"14,729","278,824",12.6%,"35,089"
"Virginia Beach-Norfolk-Newport News, VA-NC",2022,"451,214",5.3%,"24,008","224,777",12.5%,"28,082"
"Virginia Beach-Norfolk-Newport News, VA-NC",2023,"472,832",8.1%,"38,518","227,393",11.4%,"25,930"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2019,"1,088,535",4.4%,"48,092","799,553",5.7%,"45,730"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020,"1,145,361",4.7%,"53,194","785,634",5.7%,"44,648"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021,"1,189,662",5.2%,"61,627","964,201",6.2%,"59,584"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022,"1,211,526",5.5%,"67,150","825,307",6.0%,"49,192"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2023,"1,262,923",5.9%,"74,099","856,985",6.7%,"57,065"
