FIPS,State,District,Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Census Region,Census Division,FNS Region
101,AL,"Congressional District 1 (116th Congress), Alabama",2019,16.1%,"115,250",28%,12%,12%,130%,50%,50%,21.9%,"35,290",74%,26%,South,East South Central,Southeast
101,AL,"Congressional District 1, Alabama",2020,14.1%,"100,850",29%,12%,9%,130%,51%,49%,19.5%,"31,670",82%,18%,South,East South Central,Southeast
101,AL,"Congressional District 1, Alabama",2021,14.7%,"108,230",28%,10%,10%,130%,40%,60%,18.6%,"30,560",77%,23%,South,East South Central,Southeast
101,AL,"Congressional District 1 (118th Congress), Alabama",2022,17.8%,"130,000",33%,18%,12%,130%,39%,61%,23.8%,"38,380",76%,24%,South,East South Central,Southeast
101,AL,"Congressional District 1 (118th Congress), Alabama",2023,16.3%,"119,750",33%,18%,12%,130%,45%,55%,21.8%,"35,490",80%,20%,South,East South Central,Southeast
102,AL,"Congressional District 2 (116th Congress), Alabama",2019,16.3%,"109,950",28%,14%,13%,130%,52%,48%,23.1%,"35,050",71%,29%,South,East South Central,Southeast
102,AL,"Congressional District 2, Alabama",2020,15.2%,"103,190",28%,15%,10%,130%,54%,46%,22.5%,"34,130",79%,21%,South,East South Central,Southeast
102,AL,"Congressional District 2, Alabama",2021,15.6%,"107,990",27%,13%,11%,130%,42%,58%,21.2%,"33,520",73%,27%,South,East South Central,Southeast
102,AL,"Congressional District 2 (118th Congress), Alabama",2022,17.5%,"126,340",31%,19%,12%,130%,41%,60%,26.4%,"43,060",76%,24%,South,East South Central,Southeast
102,AL,"Congressional District 2 (118th Congress), Alabama",2023,18.3%,"132,390",32%,20%,13%,130%,50%,50%,25.2%,"42,000",79%,21%,South,East South Central,Southeast
103,AL,"Congressional District 3 (116th Congress), Alabama",2019,16.7%,"119,620",26%,14%,13%,130%,50%,50%,21.3%,"33,100",73%,27%,South,East South Central,Southeast
103,AL,"Congressional District 3, Alabama",2020,14.8%,"105,410",26%,15%,11%,130%,54%,46%,19.6%,"30,630",81%,19%,South,East South Central,Southeast
103,AL,"Congressional District 3, Alabama",2021,15.8%,"117,330",25%,14%,11%,130%,45%,55%,19.5%,"31,220",76%,24%,South,East South Central,Southeast
103,AL,"Congressional District 3 (118th Congress), Alabama",2022,18.2%,"131,370",30%,22%,14%,130%,42%,58%,24.4%,"37,040",77%,23%,South,East South Central,Southeast
103,AL,"Congressional District 3 (118th Congress), Alabama",2023,17.8%,"130,140",30%,21%,14%,130%,49%,52%,21.7%,"33,480",68%,32%,South,East South Central,Southeast
104,AL,"Congressional District 4 (116th Congress), Alabama",2019,16.9%,"116,460",27%,14%,14%,130%,47%,53%,19.4%,"29,900",90%,10%,South,East South Central,Southeast
104,AL,"Congressional District 4, Alabama",2020,15.5%,"106,310",28%,15%,11%,130%,51%,50%,17.3%,"27,090",95%,5%,South,East South Central,Southeast
104,AL,"Congressional District 4, Alabama",2021,16.3%,"115,370",28%,12%,11%,130%,41%,60%,15.7%,"25,250",92%,8%,South,East South Central,Southeast
104,AL,"Congressional District 4 (118th Congress), Alabama",2022,19.6%,"142,880",32%,18%,14%,130%,43%,57%,21.4%,"35,200",85%,15%,South,East South Central,Southeast
104,AL,"Congressional District 4 (118th Congress), Alabama",2023,19.2%,"138,770",34%,20%,14%,130%,57%,43%,20.6%,"33,860",82%,18%,South,East South Central,Southeast
105,AL,"Congressional District 5 (116th Congress), Alabama",2019,15.1%,"110,870",25%,13%,12%,130%,44%,56%,18.1%,"28,820",79%,22%,South,East South Central,Southeast
105,AL,"Congressional District 5, Alabama",2020,13.0%,"94,840",26%,14%,9%,130%,45%,55%,15.4%,"24,460",82%,18%,South,East South Central,Southeast
105,AL,"Congressional District 5, Alabama",2021,12.7%,"98,560",25%,12%,9%,130%,33%,67%,12.2%,"20,490",70%,30%,South,East South Central,Southeast
105,AL,"Congressional District 5 (118th Congress), Alabama",2022,15.7%,"116,890",28%,17%,12%,130%,31%,69%,17.8%,"28,390",67%,33%,South,East South Central,Southeast
105,AL,"Congressional District 5 (118th Congress), Alabama",2023,15.2%,"115,460",29%,18%,12%,130%,39%,61%,16.4%,"26,980",67%,34%,South,East South Central,Southeast
106,AL,"Congressional District 6 (116th Congress), Alabama",2019,12.7%,"88,620",20%,11%,10%,130%,35%,65%,13.5%,"21,380",80%,20%,South,East South Central,Southeast
106,AL,"Congressional District 6, Alabama",2020,11.4%,"80,700",22%,12%,8%,130%,38%,62%,12.1%,"19,890",77%,23%,South,East South Central,Southeast
106,AL,"Congressional District 6, Alabama",2021,11.9%,"85,870",21%,10%,8%,130%,29%,72%,10.3%,"16,850",74%,26%,South,East South Central,Southeast
106,AL,"Congressional District 6 (118th Congress), Alabama",2022,13.9%,"98,680",27%,15%,10%,130%,27%,73%,14.9%,"23,750",61%,40%,South,East South Central,Southeast
106,AL,"Congressional District 6 (118th Congress), Alabama",2023,15.5%,"111,880",28%,17%,11%,130%,41%,59%,16.6%,"28,130",65%,35%,South,East South Central,Southeast
107,AL,"Congressional District 7 (116th Congress), Alabama",2019,19.0%,"127,480",28%,12%,14%,130%,68%,32%,32.1%,"46,340",72%,28%,South,East South Central,Southeast
107,AL,"Congressional District 7, Alabama",2020,18.1%,"120,070",29%,14%,12%,130%,69%,32%,33.8%,"48,170",78%,22%,South,East South Central,Southeast
107,AL,"Congressional District 7, Alabama",2021,17.0%,"113,200",28%,12%,12%,130%,51%,49%,32.1%,"46,940",78%,22%,South,East South Central,Southeast
107,AL,"Congressional District 7 (118th Congress), Alabama",2022,19.3%,"138,110",32%,20%,14%,130%,45%,55%,34.7%,"52,740",77%,23%,South,East South Central,Southeast
107,AL,"Congressional District 7 (118th Congress), Alabama",2023,20.7%,"148,120",32%,22%,15%,130%,54%,46%,34.4%,"50,640",80%,20%,South,East South Central,Southeast
200,AK,"Congressional District (at Large) (116th Congress), Alaska",2019,11.9%,"86,970",18%,14%,9%,130%,49%,51%,16.0%,"28,850",72%,28%,West,Pacific,Western
200,AK,"Congressional District (at Large), Alaska",2020,10.8%,"79,670",20%,15%,7%,130%,50%,50%,14.7%,"26,910",78%,23%,West,Pacific,Western
200,AK,"Congressional District (at Large), Alaska",2021,10.7%,"78,260",19%,13%,8%,130%,40%,60%,12.8%,"22,960",73%,27%,West,Pacific,Western
200,AK,"Congressional District (at Large) (118th Congress), Alaska",2022,12.8%,"93,620",23%,19%,10%,130%,37%,63%,17.1%,"30,110",71%,29%,West,Pacific,Western
200,AK,"Congressional District (at Large) (118th Congress), Alaska",2023,14.5%,"106,080",26%,21%,10%,130%,45%,55%,17.8%,"31,030",67%,34%,West,Pacific,Western
401,AZ,"Congressional District 1 (116th Congress), Arizona",2019,15.7%,"123,050",21%,17%,11%,185%,62%,38%,22.2%,"39,490",67%,33%,West,Mountain,Southwest
401,AZ,"Congressional District 1, Arizona",2020,14.1%,"109,240",23%,17%,9%,185%,68%,32%,20.1%,"36,040",76%,24%,West,Mountain,Southwest
401,AZ,"Congressional District 1, Arizona",2021,12.5%,"96,960",19%,14%,9%,185%,54%,46%,16.5%,"27,750",76%,25%,West,Mountain,Southwest
401,AZ,"Congressional District 1 (118th Congress), Arizona",2022,11.3%,"90,590",26%,18%,9%,185%,35%,65%,14.6%,"20,350",56%,44%,West,Mountain,Southwest
401,AZ,"Congressional District 1 (118th Congress), Arizona",2023,12.6%,"101,300",28%,20%,10%,185%,44%,56%,16.0%,"22,600",56%,44%,West,Mountain,Southwest
402,AZ,"Congressional District 2 (116th Congress), Arizona",2019,13.3%,"97,520",24%,18%,12%,185%,64%,36%,18.0%,"25,010",66%,34%,West,Mountain,Southwest
402,AZ,"Congressional District 2, Arizona",2020,11.9%,"87,540",22%,18%,9%,185%,67%,33%,17.3%,"25,260",71%,29%,West,Mountain,Southwest
402,AZ,"Congressional District 2, Arizona",2021,11.4%,"85,680",20%,14%,9%,185%,51%,49%,16.0%,"24,380",68%,32%,West,Mountain,Southwest
402,AZ,"Congressional District 2 (118th Congress), Arizona",2022,15.8%,"129,910",21%,20%,12%,185%,52%,48%,23.1%,"39,000",75%,25%,West,Mountain,Southwest
402,AZ,"Congressional District 2 (118th Congress), Arizona",2023,17.0%,"141,550",25%,21%,12%,185%,67%,33%,23.7%,"39,770",77%,24%,West,Mountain,Southwest
403,AZ,"Congressional District 3 (116th Congress), Arizona",2019,13.1%,"105,360",20%,18%,13%,185%,80%,20%,21.3%,"46,180",75%,25%,West,Mountain,Southwest
403,AZ,"Congressional District 3, Arizona",2020,11.9%,"93,130",20%,18%,10%,185%,84%,16%,20.1%,"41,020",83%,17%,West,Mountain,Southwest
403,AZ,"Congressional District 3, Arizona",2021,12.0%,"93,530",17%,14%,10%,185%,55%,45%,17.4%,"34,490",68%,32%,West,Mountain,Southwest
403,AZ,"Congressional District 3 (118th Congress), Arizona",2022,15.6%,"130,250",26%,21%,14%,185%,59%,41%,22.2%,"49,490",77%,23%,West,Mountain,Southwest
403,AZ,"Congressional District 3 (118th Congress), Arizona",2023,17.8%,"145,040",28%,22%,15%,185%,70%,30%,23.0%,"48,720",79%,21%,West,Mountain,Southwest
404,AZ,"Congressional District 4 (116th Congress), Arizona",2019,13.3%,"109,970",18%,16%,12%,185%,62%,39%,19.1%,"29,390",71%,30%,West,Mountain,Southwest
404,AZ,"Congressional District 4, Arizona",2020,12.0%,"97,360",16%,16%,10%,185%,65%,36%,16.8%,"25,920",68%,32%,West,Mountain,Southwest
404,AZ,"Congressional District 4, Arizona",2021,10.4%,"88,370",14%,13%,9%,185%,52%,48%,14.9%,"24,030",69%,31%,West,Mountain,Southwest
404,AZ,"Congressional District 4 (118th Congress), Arizona",2022,12.4%,"98,870",29%,19%,11%,185%,44%,56%,18.6%,"30,700",65%,35%,West,Mountain,Southwest
404,AZ,"Congressional District 4 (118th Congress), Arizona",2023,14.1%,"115,020",31%,20%,12%,185%,54%,46%,18.7%,"29,330",64%,37%,West,Mountain,Southwest
405,AZ,"Congressional District 5 (116th Congress), Arizona",2019,9.1%,"77,030",14%,14%,8%,185%,42%,58%,11.0%,"23,690",48%,52%,West,Mountain,Southwest
405,AZ,"Congressional District 5, Arizona",2020,7.9%,"66,630",16%,14%,6%,185%,49%,51%,9.5%,"20,300",58%,42%,West,Mountain,Southwest
405,AZ,"Congressional District 5, Arizona",2021,6.8%,"60,460",14%,10%,6%,185%,34%,66%,7.5%,"16,370",50%,51%,West,Mountain,Southwest
405,AZ,"Congressional District 5 (118th Congress), Arizona",2022,9.0%,"75,370",16%,13%,8%,185%,30%,70%,12.3%,"25,600",44%,56%,West,Mountain,Southwest
405,AZ,"Congressional District 5 (118th Congress), Arizona",2023,10.1%,"86,600",18%,14%,9%,185%,40%,61%,11.8%,"25,480",44%,56%,West,Mountain,Southwest
406,AZ,"Congressional District 6 (116th Congress), Arizona",2019,10.5%,"85,770",23%,16%,9%,185%,50%,50%,12.5%,"19,350",65%,35%,West,Mountain,Southwest
406,AZ,"Congressional District 6, Arizona",2020,9.5%,"76,260",22%,16%,7%,185%,53%,48%,12.0%,"19,300",68%,32%,West,Mountain,Southwest
406,AZ,"Congressional District 6, Arizona",2021,9.3%,"72,830",21%,13%,7%,185%,39%,61%,11.3%,"16,720",62%,38%,West,Mountain,Southwest
406,AZ,"Congressional District 6 (118th Congress), Arizona",2022,12.7%,"100,260",22%,19%,11%,185%,43%,57%,17.8%,"26,930",58%,42%,West,Mountain,Southwest
406,AZ,"Congressional District 6 (118th Congress), Arizona",2023,14.6%,"118,600",24%,21%,12%,185%,53%,48%,17.7%,"25,760",50%,50%,West,Mountain,Southwest
407,AZ,"Congressional District 7 (116th Congress), Arizona",2019,14.8%,"126,510",26%,19%,15%,185%,88%,12%,23.3%,"57,270",80%,20%,West,Mountain,Southwest
407,AZ,"Congressional District 7, Arizona",2020,13.3%,"109,800",26%,18%,12%,185%,87%,13%,22.4%,"54,530",90%,10%,West,Mountain,Southwest
407,AZ,"Congressional District 7, Arizona",2021,12.8%,"100,990",23%,15%,12%,185%,56%,44%,19.3%,"41,980",74%,26%,West,Mountain,Southwest
407,AZ,"Congressional District 7 (118th Congress), Arizona",2022,16.0%,"130,620",26%,21%,14%,185%,62%,38%,21.7%,"40,350",72%,28%,West,Mountain,Southwest
407,AZ,"Congressional District 7 (118th Congress), Arizona",2023,17.1%,"138,470",27%,23%,15%,185%,72%,28%,21.1%,"39,970",72%,28%,West,Mountain,Southwest
408,AZ,"Congressional District 8 (116th Congress), Arizona",2019,10.5%,"83,650",17%,14%,9%,185%,51%,49%,14.8%,"25,440",55%,46%,West,Mountain,Southwest
408,AZ,"Congressional District 8, Arizona",2020,8.8%,"70,810",17%,15%,7%,185%,55%,45%,12.2%,"21,730",65%,35%,West,Mountain,Southwest
408,AZ,"Congressional District 8, Arizona",2021,7.9%,"68,490",14%,12%,7%,185%,40%,60%,9.8%,"19,040",59%,41%,West,Mountain,Southwest
408,AZ,"Congressional District 8 (118th Congress), Arizona",2022,12.3%,"99,410",27%,18%,10%,185%,39%,61%,17.0%,"27,090",52%,49%,West,Mountain,Southwest
408,AZ,"Congressional District 8 (118th Congress), Arizona",2023,12.8%,"102,680",30%,20%,11%,185%,52%,48%,16.3%,"26,520",52%,48%,West,Mountain,Southwest
409,AZ,"Congressional District 9 (116th Congress), Arizona",2019,13.4%,"110,080",25%,17%,11%,185%,55%,45%,16.8%,"27,750",64%,36%,West,Mountain,Southwest
409,AZ,"Congressional District 9, Arizona",2020,11.1%,"88,020",26%,17%,9%,185%,63%,37%,15.9%,"25,510",74%,26%,West,Mountain,Southwest
409,AZ,"Congressional District 9, Arizona",2021,10.7%,"84,380",24%,14%,9%,185%,46%,54%,13.7%,"21,320",68%,32%,West,Mountain,Southwest
409,AZ,"Congressional District 9 (118th Congress), Arizona",2022,12.7%,"107,850",18%,17%,11%,185%,45%,56%,18.6%,"34,440",63%,37%,West,Mountain,Southwest
409,AZ,"Congressional District 9 (118th Congress), Arizona",2023,13.4%,"117,860",21%,18%,12%,185%,58%,42%,17.6%,"33,140",61%,39%,West,Mountain,Southwest
501,AR,"Congressional District 1 (116th Congress), Arkansas",2019,18.6%,"133,810",28%,22%,16%,130%,53%,47%,26.4%,"43,080",72%,28%,South,West South Central,Southwest
501,AR,"Congressional District 1, Arkansas",2020,16.8%,"121,430",28%,21%,14%,130%,56%,44%,23.7%,"39,480",75%,25%,South,West South Central,Southwest
501,AR,"Congressional District 1, Arkansas",2021,18.3%,"130,910",29%,19%,15%,130%,46%,54%,23.6%,"39,210",73%,27%,South,West South Central,Southwest
501,AR,"Congressional District 1 (118th Congress), Arkansas",2022,20.2%,"150,870",35%,26%,17%,130%,43%,57%,28.4%,"48,110",78%,23%,South,West South Central,Southwest
501,AR,"Congressional District 1 (118th Congress), Arkansas",2023,21.1%,"158,790",38%,26%,18%,130%,52%,48%,28.2%,"48,460",77%,23%,South,West South Central,Southwest
502,AR,"Congressional District 2 (116th Congress), Arkansas",2019,14.9%,"114,340",22%,20%,14%,130%,50%,50%,20.1%,"35,260",67%,33%,South,West South Central,Southwest
502,AR,"Congressional District 2, Arkansas",2020,13.5%,"103,450",22%,19%,12%,130%,52%,49%,19.2%,"33,990",73%,27%,South,West South Central,Southwest
502,AR,"Congressional District 2, Arkansas",2021,14.3%,"110,370",23%,17%,12%,130%,40%,61%,19.4%,"34,170",70%,30%,South,West South Central,Southwest
502,AR,"Congressional District 2 (118th Congress), Arkansas",2022,18.0%,"137,330",28%,23%,15%,130%,37%,63%,25.1%,"42,560",61%,39%,South,West South Central,Southwest
502,AR,"Congressional District 2 (118th Congress), Arkansas",2023,17.7%,"136,920",31%,23%,16%,130%,42%,58%,23.5%,"41,330",66%,34%,South,West South Central,Southwest
503,AR,"Congressional District 3 (116th Congress), Arkansas",2019,16.1%,"133,490",25%,18%,14%,130%,46%,54%,17.9%,"36,420",81%,20%,South,West South Central,Southwest
503,AR,"Congressional District 3, Arkansas",2020,13.0%,"106,680",26%,17%,12%,130%,47%,53%,14.2%,"28,580",87%,13%,South,West South Central,Southwest
503,AR,"Congressional District 3, Arkansas",2021,13.7%,"116,470",25%,15%,13%,130%,34%,66%,13.3%,"27,220",79%,21%,South,West South Central,Southwest
503,AR,"Congressional District 3 (118th Congress), Arkansas",2022,16.8%,"131,990",30%,20%,15%,130%,34%,66%,17.2%,"32,530",70%,30%,South,West South Central,Southwest
503,AR,"Congressional District 3 (118th Congress), Arkansas",2023,17.2%,"136,940",32%,21%,16%,130%,43%,57%,16.7%,"31,780",72%,29%,South,West South Central,Southwest
504,AR,"Congressional District 4 (116th Congress), Arkansas",2019,16.9%,"118,310",25%,21%,16%,130%,56%,44%,23.0%,"36,150",72%,29%,South,West South Central,Southwest
504,AR,"Congressional District 4, Arkansas",2020,16.0%,"112,570",25%,20%,13%,130%,57%,43%,22.9%,"36,360",76%,24%,South,West South Central,Southwest
504,AR,"Congressional District 4, Arkansas",2021,15.9%,"109,800",24%,17%,14%,130%,44%,57%,21.6%,"34,090",70%,30%,South,West South Central,Southwest
504,AR,"Congressional District 4 (118th Congress), Arkansas",2022,19.6%,"146,920",29%,22%,17%,130%,43%,57%,27.0%,"45,230",75%,25%,South,West South Central,Southwest
504,AR,"Congressional District 4 (118th Congress), Arkansas",2023,21.5%,"160,210",32%,23%,18%,130%,56%,45%,28.4%,"46,370",77%,23%,South,West South Central,Southwest
601,CA,"Congressional District 1 (116th Congress), California",2019,13.4%,"95,290",23%,18%,10%,200%,65%,35%,16.9%,"24,380",59%,41%,West,Pacific,Western
601,CA,"Congressional District 1, California",2020,12.0%,"84,690",24%,18%,8%,200%,75%,25%,15.1%,"21,150",72%,28%,West,Pacific,Western
601,CA,"Congressional District 1, California",2021,13.0%,"91,180",24%,15%,8%,200%,65%,35%,16.6%,"23,560",67%,33%,West,Pacific,Western
601,CA,"Congressional District 1 (118th Congress), California",2022,15.3%,"116,000",25%,21%,12%,200%,64%,36%,21.2%,"35,950",67%,33%,West,Pacific,Western
601,CA,"Congressional District 1 (118th Congress), California",2023,16.0%,"120,900",27%,23%,12%,200%,70%,30%,21.0%,"35,860",71%,29%,West,Pacific,Western
602,CA,"Congressional District 2 (116th Congress), California",2019,10.8%,"76,170",18%,15%,7%,200%,57%,43%,11.9%,"16,240",68%,32%,West,Pacific,Western
602,CA,"Congressional District 2, California",2020,9.6%,"68,210",19%,16%,6%,200%,66%,34%,10.5%,"14,830",73%,27%,West,Pacific,Western
602,CA,"Congressional District 2, California",2021,10.8%,"77,560",19%,13%,6%,200%,52%,48%,11.6%,"15,770",63%,37%,West,Pacific,Western
602,CA,"Congressional District 2 (118th Congress), California",2022,12.8%,"95,420",26%,18%,9%,200%,49%,51%,15.7%,"21,720",58%,42%,West,Pacific,Western
602,CA,"Congressional District 2 (118th Congress), California",2023,13.2%,"97,950",27%,20%,10%,200%,58%,42%,15.4%,"22,040",65%,35%,West,Pacific,Western
603,CA,"Congressional District 3 (116th Congress), California",2019,10.8%,"81,670",14%,15%,9%,200%,68%,32%,13.6%,"23,500",64%,36%,West,Pacific,Western
603,CA,"Congressional District 3, California",2020,9.3%,"69,170",14%,15%,7%,200%,76%,25%,13.0%,"22,500",70%,30%,West,Pacific,Western
603,CA,"Congressional District 3, California",2021,10.2%,"77,500",13%,12%,7%,200%,63%,37%,14.2%,"25,240",70%,31%,West,Pacific,Western
603,CA,"Congressional District 3 (118th Congress), California",2022,10.1%,"78,430",12%,17%,7%,200%,41%,59%,11.8%,"18,450",42%,58%,West,Pacific,Western
603,CA,"Congressional District 3 (118th Congress), California",2023,10.9%,"86,250",16%,18%,8%,200%,48%,52%,13.0%,"20,790",48%,53%,West,Pacific,Western
604,CA,"Congressional District 4 (116th Congress), California",2019,9.4%,"71,540",9%,14%,7%,200%,49%,51%,11.3%,"17,600",49%,51%,West,Pacific,Western
604,CA,"Congressional District 4, California",2020,7.9%,"58,990",11%,14%,4%,200%,57%,43%,7.6%,"11,840",61%,39%,West,Pacific,Western
604,CA,"Congressional District 4, California",2021,8.4%,"65,490",8%,12%,5%,200%,50%,50%,9.4%,"14,920",61%,39%,West,Pacific,Western
604,CA,"Congressional District 4 (118th Congress), California",2022,12.5%,"95,290",22%,18%,9%,200%,54%,46%,16.5%,"24,790",55%,45%,West,Pacific,Western
604,CA,"Congressional District 4 (118th Congress), California",2023,12.7%,"96,880",24%,19%,10%,200%,58%,42%,15.1%,"22,400",59%,42%,West,Pacific,Western
605,CA,"Congressional District 5 (116th Congress), California",2019,8.3%,"60,470",16%,13%,7%,200%,58%,42%,10.6%,"15,460",64%,36%,West,Pacific,Western
605,CA,"Congressional District 5, California",2020,7.9%,"57,480",16%,14%,5%,200%,65%,35%,11.1%,"16,300",66%,34%,West,Pacific,Western
605,CA,"Congressional District 5, California",2021,9.9%,"70,340",16%,11%,6%,200%,48%,53%,13.0%,"17,900",50%,50%,West,Pacific,Western
605,CA,"Congressional District 5 (118th Congress), California",2022,12.3%,"95,630",19%,19%,8%,200%,52%,48%,15.8%,"26,760",55%,45%,West,Pacific,Western
605,CA,"Congressional District 5 (118th Congress), California",2023,12.6%,"98,880",22%,20%,9%,200%,59%,41%,16.4%,"27,770",61%,39%,West,Pacific,Western
606,CA,"Congressional District 6 (116th Congress), California",2019,12.6%,"98,800",22%,16%,10%,200%,76%,25%,17.8%,"34,640",69%,31%,West,Pacific,Western
606,CA,"Congressional District 6, California",2020,11.9%,"91,000",22%,17%,8%,200%,80%,20%,18.0%,"33,100",76%,24%,West,Pacific,Western
606,CA,"Congressional District 6, California",2021,11.9%,"93,040",21%,14%,8%,200%,64%,36%,17.1%,"30,100",69%,31%,West,Pacific,Western
606,CA,"Congressional District 6 (118th Congress), California",2022,12.7%,"95,550",24%,19%,10%,200%,59%,41%,20.2%,"35,780",70%,30%,West,Pacific,Western
606,CA,"Congressional District 6 (118th Congress), California",2023,14.2%,"106,400",27%,20%,11%,200%,67%,33%,20.4%,"34,810",77%,23%,West,Pacific,Western
607,CA,"Congressional District 7 (116th Congress), California",2019,10.5%,"79,680",18%,13%,7%,200%,56%,44%,13.6%,"22,720",60%,40%,West,Pacific,Western
607,CA,"Congressional District 7, California",2020,8.7%,"66,600",17%,14%,5%,200%,67%,33%,11.5%,"20,520",70%,30%,West,Pacific,Western
607,CA,"Congressional District 7, California",2021,9.1%,"71,670",17%,12%,5%,200%,54%,46%,11.7%,"22,100",62%,38%,West,Pacific,Western
607,CA,"Congressional District 7 (118th Congress), California",2022,12.4%,"94,720",23%,19%,9%,200%,56%,44%,18.8%,"31,460",66%,34%,West,Pacific,Western
607,CA,"Congressional District 7 (118th Congress), California",2023,14.0%,"107,110",25%,20%,10%,200%,59%,41%,18.5%,"31,380",64%,36%,West,Pacific,Western
608,CA,"Congressional District 8 (116th Congress), California",2019,13.5%,"97,430",22%,16%,11%,200%,84%,16%,21.2%,"43,180",71%,30%,West,Pacific,Western
608,CA,"Congressional District 8, California",2020,12.1%,"88,580",24%,17%,8%,200%,81%,19%,19.5%,"39,190",76%,24%,West,Pacific,Western
608,CA,"Congressional District 8, California",2021,12.4%,"93,940",24%,15%,9%,200%,69%,31%,18.0%,"36,740",69%,31%,West,Pacific,Western
608,CA,"Congressional District 8 (118th Congress), California",2022,12.0%,"89,410",21%,17%,8%,200%,52%,48%,20.8%,"33,370",60%,40%,West,Pacific,Western
608,CA,"Congressional District 8 (118th Congress), California",2023,13.0%,"97,660",23%,19%,9%,200%,57%,43%,17.9%,"28,390",60%,40%,West,Pacific,Western
609,CA,"Congressional District 9 (116th Congress), California",2019,10.9%,"85,510",19%,16%,8%,200%,78%,22%,17.0%,"35,040",68%,33%,West,Pacific,Western
609,CA,"Congressional District 9, California",2020,9.9%,"76,650",19%,16%,6%,200%,78%,22%,15.7%,"32,520",71%,29%,West,Pacific,Western
609,CA,"Congressional District 9, California",2021,10.7%,"86,480",17%,13%,6%,200%,60%,40%,16.3%,"34,010",66%,34%,West,Pacific,Western
609,CA,"Congressional District 9 (118th Congress), California",2022,12.9%,"98,930",23%,19%,9%,200%,55%,45%,18.9%,"37,670",58%,42%,West,Pacific,Western
609,CA,"Congressional District 9 (118th Congress), California",2023,14.3%,"110,350",24%,21%,10%,200%,64%,36%,19.4%,"38,540",64%,36%,West,Pacific,Western
610,CA,"Congressional District 10 (116th Congress), California",2019,10.8%,"82,650",15%,15%,9%,200%,81%,19%,15.5%,"31,210",71%,29%,West,Pacific,Western
610,CA,"Congressional District 10, California",2020,9.9%,"74,740",14%,16%,7%,200%,83%,17%,15.1%,"30,690",77%,23%,West,Pacific,Western
610,CA,"Congressional District 10, California",2021,9.8%,"76,110",13%,13%,7%,200%,60%,40%,13.6%,"28,400",65%,35%,West,Pacific,Western
610,CA,"Congressional District 10 (118th Congress), California",2022,8.6%,"64,960",14%,14%,5%,200%,34%,66%,7.7%,"12,920",44%,56%,West,Pacific,Western
610,CA,"Congressional District 10 (118th Congress), California",2023,9.9%,"73,530",17%,15%,6%,200%,37%,63%,11.2%,"18,450",41%,59%,West,Pacific,Western
611,CA,"Congressional District 11 (116th Congress), California",2019,8.4%,"64,010",18%,14%,5%,200%,58%,42%,10.9%,"18,370",58%,42%,West,Pacific,Western
611,CA,"Congressional District 11, California",2020,7.2%,"54,750",17%,14%,3%,200%,66%,34%,9.3%,"15,570",69%,31%,West,Pacific,Western
611,CA,"Congressional District 11, California",2021,8.6%,"66,540",16%,12%,3%,200%,52%,48%,11.3%,"19,120",64%,36%,West,Pacific,Western
611,CA,"Congressional District 11 (118th Congress), California",2022,11.9%,"84,220",30%,18%,8%,200%,48%,52%,9.0%,"8,420",73%,27%,West,Pacific,Western
611,CA,"Congressional District 11 (118th Congress), California",2023,15.1%,"105,980",34%,20%,9%,200%,49%,51%,14.4%,"12,870",59%,41%,West,Pacific,Western
612,CA,"Congressional District 12 (116th Congress), California",2019,11.3%,"88,430",25%,14%,7%,200%,46%,54%,7.5%,"7,940",60%,40%,West,Pacific,Western
612,CA,"Congressional District 12, California",2020,9.7%,"74,390",24%,14%,5%,200%,56%,44%,6.7%,"6,700",81%,19%,West,Pacific,Western
612,CA,"Congressional District 12, California",2021,12.5%,"90,190",25%,13%,6%,200%,45%,56%,9.7%,"9,400",56%,44%,West,Pacific,Western
612,CA,"Congressional District 12 (118th Congress), California",2022,11.6%,"85,100",23%,18%,7%,200%,53%,47%,16.0%,"21,540",60%,41%,West,Pacific,Western
612,CA,"Congressional District 12 (118th Congress), California",2023,14.5%,"106,320",26%,20%,9%,200%,59%,41%,17.5%,"21,770",61%,39%,West,Pacific,Western
613,CA,"Congressional District 13 (116th Congress), California",2019,11.0%,"84,850",20%,15%,6%,200%,55%,45%,13.2%,"18,560",51%,49%,West,Pacific,Western
613,CA,"Congressional District 13, California",2020,9.5%,"71,940",20%,15%,5%,200%,68%,32%,12.7%,"17,730",67%,33%,West,Pacific,Western
613,CA,"Congressional District 13, California",2021,10.7%,"81,430",19%,12%,5%,200%,52%,48%,13.9%,"19,260",59%,41%,West,Pacific,Western
613,CA,"Congressional District 13 (118th Congress), California",2022,18.0%,"140,810",25%,22%,13%,200%,70%,30%,24.6%,"55,850",75%,25%,West,Pacific,Western
613,CA,"Congressional District 13 (118th Congress), California",2023,17.8%,"139,920",30%,24%,13%,200%,83%,18%,21.9%,"49,240",79%,21%,West,Pacific,Western
